id,first_name,last_name,email,gender,ip_address,player_name,age,position,team,nationality,height,weight,jersey_number,goals_scored,assists
20,Julian,Getcliff,jgetcliffj@theglobeandmail.com,Male,170.238.140.29,Julian Getcliff,38,forward,Barcelona,China,165.07,92.56,93,24,20
21,Patricia,Jerson,pjersonk@ft.com,Genderfluid,83.236.207.57,Patricia Jerson,23,goalkeeper,Manchester United,Philippines,190.13,82.04,12,17,25
22,Gladi,Waudby,gwaudbyl@digg.com,Female,194.230.8.206,Gladi Waudby,19,forward,Manchester United,Brazil,185.68,73.54,44,49,11
23,Mic,Spurgeon,mspurgeonm@scientificamerican.com,Male,43.223.191.49,Mic Spurgeon,30,forward,Manchester United,Poland,172.13,75.09,67,14,3
24,Konstanze,Schafer,kschafern@comcast.net,Female,138.98.230.63,Konstanze Schafer,31,midfielder,Real Madrid,Indonesia,205.86,95.25,89,30,26
25,Huey,Wearne,hwearneo@timesonline.co.uk,Male,12.160.48.105,Huey Wearne,27,goalkeeper,Real Madrid,Greece,154.53,65.35,32,48,4
26,Faustina,Francioli,ffranciolip@smh.com.au,Female,246.46.73.107,Faustina Francioli,30,defender,Real Madrid,Russia,177.2,91.02,95,47,14
27,Cort,Dodell,cdodellq@hubpages.com,Male,186.140.151.245,Cort Dodell,21,defender,Bayern Munich,Canada,185.46,84.73,65,30,23
28,Jaimie,Zahor,jzahorr@about.com,Female,195.244.224.191,Jaimie Zahor,40,midfielder,Manchester United,United Kingdom,168.76,92.77,27,6,3
29,Giselbert,Nudde,gnuddes@wunderground.com,Male,136.58.209.67,Giselbert Nudde,38,goalkeeper,Barcelona,Portugal,167.07,73.15,31,36,22
30,Benjamin,Gebby,bgebbyt@arstechnica.com,Male,187.255.212.54,Benjamin Gebby,38,goalkeeper,Barcelona,Russia,187.25,56.11,5,30,25
31,Charlean,Sibborn,csibbornu@uol.com.br,Agender,19.30.214.159,Charlean Sibborn,25,forward,Manchester United,Greece,207.35,71.8,10,7,10
32,Adey,Monketon,amonketonv@about.me,Female,161.254.16.122,Adey Monketon,39,midfielder,Barcelona,France,192.17,70.4,17,8,30
33,Kevyn,Giurio,kgiuriow@delicious.com,Female,113.97.178.123,Kevyn Giurio,38,midfielder,Manchester United,Vietnam,171.93,89.82,27,8,3
34,Ewen,Stappard,estappardx@wunderground.com,Male,222.97.144.57,Ewen Stappard,23,midfielder,Manchester United,South Africa,205.57,89.98,6,28,0
35,Dennie,Flannigan,dflannigany@live.com,Male,35.76.88.170,Dennie Flannigan,33,defender,Manchester United,United States,205.87,53.68,82,40,4
36,Xenia,Hardway,xhardwayz@sourceforge.net,Female,87.85.163.22,Xenia Hardway,23,goalkeeper,Barcelona,Ukraine,179.42,74.99,47,20,14
37,Edeline,Bixley,ebixley10@paginegialle.it,Female,243.14.6.185,Edeline Bixley,18,defender,Bayern Munich,Indonesia,185.73,60.19,2,48,11
38,Becca,Dedenham,bdedenham11@wikipedia.org,Female,108.140.42.84,Becca Dedenham,31,forward,Manchester United,Thailand,183.96,81.01,7,27,26
39,Tallie,Okeshott,tokeshott12@state.gov,Female,133.129.183.83,Tallie Okeshott,24,forward,Bayern Munich,China,171.56,73.01,67,21,10
40,Bobby,Koppes,bkoppes13@woothemes.com,Female,240.221.194.254,Bobby Koppes,32,goalkeeper,Bayern Munich,Greece,205.09,55.07,1,12,16
41,Darlene,Taylerson,dtaylerson14@wikimedia.org,Female,93.189.61.241,Darlene Taylerson,20,defender,Real Madrid,Argentina,161.72,64.24,64,29,6
42,Helli,Stolberger,hstolberger15@cafepress.com,Female,62.6.206.69,Helli Stolberger,39,forward,Bayern Munich,Indonesia,202.25,52.71,25,39,17
43,Dolf,Simkovitz,dsimkovitz16@fema.gov,Male,146.164.141.193,Dolf Simkovitz,18,forward,Real Madrid,Japan,162.2,70.62,28,34,12
44,Marcello,Hansley,mhansley17@tripadvisor.com,Male,49.217.149.198,Marcello Hansley,22,forward,Bayern Munich,Indonesia,165.96,71.19,17,36,25
45,Thorn,Mee,tmee18@sbwire.com,Male,70.152.0.28,Thorn Mee,20,goalkeeper,Bayern Munich,Finland,199.44,57.36,97,23,24
46,Jordana,McClymond,jmcclymond19@mail.ru,Female,24.36.32.65,Jordana McClymond,30,goalkeeper,Real Madrid,Russia,208.69,88.06,33,37,15
47,Rhys,Kieff,rkieff1a@delicious.com,Male,101.66.93.94,Rhys Kieff,19,forward,Bayern Munich,Japan,168.27,74.99,61,2,27
48,Amble,Merfin,amerfin1b@weibo.com,Male,21.180.144.112,Amble Merfin,21,forward,Bayern Munich,China,167.8,97.57,44,2,26
49,Aggy,Wilflinger,awilflinger1c@fema.gov,Female,57.140.225.48,Aggy Wilflinger,31,midfielder,Manchester United,Philippines,159.11,84.87,65,13,15
50,Herta,Vidler,hvidler1d@nsw.gov.au,Female,32.38.179.144,Herta Vidler,24,goalkeeper,Barcelona,Portugal,185.81,82.6,7,15,9
51,Oren,Tonnesen,otonnesen1e@lycos.com,Male,112.63.170.138,Oren Tonnesen,40,midfielder,Bayern Munich,Brazil,200.27,81.79,97,22,4
52,Gracie,Ollerton,gollerton1f@answers.com,Agender,188.255.230.157,Gracie Ollerton,33,midfielder,Manchester United,China,174.49,56.17,61,30,4
53,Guntar,Blackborn,gblackborn1g@mozilla.org,Male,136.228.37.19,Guntar Blackborn,21,midfielder,Manchester United,Poland,167.97,52.05,29,19,29
54,Gerrard,Frensche,gfrensche1h@drupal.org,Male,131.128.68.32,Gerrard Frensche,30,defender,Real Madrid,Indonesia,163.87,67.76,80,12,1
55,Mireielle,Hambrick,mhambrick1i@nhs.uk,Polygender,10.67.144.100,Mireielle Hambrick,19,goalkeeper,Bayern Munich,Bosnia and Herzegovina,204.6,84.07,56,30,3
56,Elijah,Booty,ebooty1j@desdev.cn,Male,229.29.81.147,Elijah Booty,30,forward,Manchester United,Indonesia,191.47,66.17,49,31,9
57,Faye,Liptrod,fliptrod1k@friendfeed.com,Female,81.128.250.180,Faye Liptrod,33,forward,Barcelona,Sweden,198.57,84.54,84,13,12
58,Timmie,Broodes,tbroodes1l@weather.com,Female,138.100.39.236,Timmie Broodes,38,forward,Barcelona,Bosnia and Herzegovina,183.5,98.06,2,8,6
59,Geri,Lack,glack1m@drupal.org,Agender,43.198.9.156,Geri Lack,37,goalkeeper,Bayern Munich,Honduras,191.74,73.17,50,9,9
60,Lynsey,Gerraty,lgerraty1n@ox.ac.uk,Female,40.20.196.85,Lynsey Gerraty,40,midfielder,Manchester United,France,197.61,83.97,54,16,1
61,Emmett,Wessell,ewessell1o@ox.ac.uk,Male,149.58.197.41,Emmett Wessell,38,defender,Barcelona,Indonesia,152.44,53.75,88,31,13
62,Mitchael,McCrackem,mmccrackem1p@shareasale.com,Male,177.217.208.111,Mitchael McCrackem,29,midfielder,Manchester United,Pakistan,185.03,63.36,68,25,14
63,Trenton,Bevens,tbevens1q@fema.gov,Male,5.141.82.69,Trenton Bevens,38,goalkeeper,Bayern Munich,Vietnam,158.57,57.31,59,4,25
64,Fiann,Bane,fbane1r@cyberchimps.com,Female,56.31.40.103,Fiann Bane,35,defender,Manchester United,Kazakhstan,164.05,76.76,63,38,9
65,Urbain,MacCome,umaccome1s@adobe.com,Male,249.113.113.238,Urbain MacCome,18,forward,Manchester United,Philippines,200.65,94.87,65,17,21
66,Ignacius,Sansun,isansun1t@feedburner.com,Male,225.205.109.56,Ignacius Sansun,21,defender,Manchester United,France,151.05,71.91,43,37,25
67,Timmie,Minihane,tminihane1u@is.gd,Female,183.204.120.190,Timmie Minihane,30,midfielder,Manchester United,Mexico,177.3,65.3,78,12,4
68,Ham,Burnep,hburnep1v@cisco.com,Male,37.241.199.94,Ham Burnep,27,goalkeeper,Manchester United,Venezuela,208.57,64.1,69,45,5
69,Jemimah,Galletley,jgalletley1w@gmpg.org,Female,74.104.0.118,Jemimah Galletley,32,defender,Real Madrid,Brazil,193.69,69.91,17,29,10
70,Merridie,Artz,martz1x@google.pl,Female,201.61.153.89,Merridie Artz,19,goalkeeper,Bayern Munich,China,151.37,57.19,42,28,2
71,Beryle,Cranstone,bcranstone1y@hostgator.com,Female,244.32.117.62,Beryle Cranstone,22,midfielder,Manchester United,Paraguay,178.96,99.5,45,3,27
72,Fernando,Candlish,fcandlish1z@elegantthemes.com,Male,51.209.185.234,Fernando Candlish,28,goalkeeper,Bayern Munich,Indonesia,152.44,91.93,98,38,25
73,Jeromy,Petrollo,jpetrollo20@tamu.edu,Male,3.152.26.206,Jeromy Petrollo,27,forward,Manchester United,China,203.37,94.35,69,39,12
74,Marie-jeanne,Blazevic,mblazevic21@cocolog-nifty.com,Female,183.16.175.224,Marie-jeanne Blazevic,38,midfielder,Barcelona,Argentina,186.52,98.68,90,16,11
75,Verna,Villalta,vvillalta22@simplemachines.org,Female,83.213.119.37,Verna Villalta,24,forward,Barcelona,China,195.57,68.09,34,13,7
76,Benny,Leggott,bleggott23@google.com.br,Male,82.121.103.94,Benny Leggott,35,defender,Barcelona,Colombia,164.75,52.63,32,16,16
77,Tadeo,Schellig,tschellig24@msn.com,Male,189.115.80.130,Tadeo Schellig,32,goalkeeper,Bayern Munich,Philippines,187.91,91.67,80,25,9
78,Hamilton,Tchaikovsky,htchaikovsky25@google.com.au,Male,70.253.113.71,Hamilton Tchaikovsky,33,forward,Manchester United,Indonesia,163.81,76.55,44,44,28
79,Florry,Byram,fbyram26@google.ru,Agender,39.238.163.107,Florry Byram,22,goalkeeper,Bayern Munich,Brazil,191.94,95.88,10,42,26
80,Marita,Wilne,mwilne27@marketwatch.com,Female,64.50.103.76,Marita Wilne,39,forward,Bayern Munich,Macedonia,203.81,89.31,22,4,12
81,Farlie,Ambrogelli,fambrogelli28@51.la,Male,155.227.2.218,Farlie Ambrogelli,23,forward,Manchester United,France,186.79,94.98,10,44,10
82,Gordie,Petris,gpetris29@posterous.com,Male,34.58.203.86,Gordie Petris,27,midfielder,Bayern Munich,Canada,176.37,70.08,72,40,24
83,Jennine,Wrenn,jwrenn2a@feedburner.com,Female,79.156.121.7,Jennine Wrenn,28,goalkeeper,Manchester United,Indonesia,184.21,74.2,49,11,24
84,Martie,Quinnelly,mquinnelly2b@tripod.com,Female,26.15.243.239,Martie Quinnelly,39,forward,Real Madrid,China,193.61,79.38,53,1,29
85,Oswell,Mary,omary2c@scientificamerican.com,Male,161.5.198.94,Oswell Mary,33,midfielder,Manchester United,Japan,182.28,75.29,39,16,19
86,Wilton,Morratt,wmorratt2d@twitter.com,Male,133.240.52.202,Wilton Morratt,30,midfielder,Barcelona,Thailand,202.63,65.15,64,15,25
87,Fran,Pooley,fpooley2e@w3.org,Female,138.219.130.219,Fran Pooley,34,midfielder,Manchester United,Pakistan,190.25,55.92,90,18,1
88,Kristo,Hender,khender2f@yale.edu,Male,79.16.212.97,Kristo Hender,26,defender,Real Madrid,United States,194.48,97.49,26,35,17
89,Roberta,Bodle,rbodle2g@behance.net,Female,81.38.133.35,Roberta Bodle,39,forward,Manchester United,China,156.46,96.18,50,43,17
90,Antonietta,Beves,abeves2h@bluehost.com,Female,44.70.110.234,Antonietta Beves,29,defender,Barcelona,Poland,152.87,69.26,57,38,30
91,Barrett,Liversage,bliversage2i@cpanel.net,Male,216.231.130.133,Barrett Liversage,34,goalkeeper,Bayern Munich,Vietnam,191.61,74.64,63,26,10
92,Lloyd,Hoofe,lhoofe2j@google.pl,Male,192.62.182.29,Lloyd Hoofe,36,goalkeeper,Bayern Munich,Philippines,187.71,51.86,32,4,6
93,Nerty,Goulthorp,ngoulthorp2k@wikipedia.org,Female,236.248.36.114,Nerty Goulthorp,28,defender,Manchester United,China,194.6,82.82,1,44,21
94,Dannie,Wellum,dwellum2l@1688.com,Male,8.123.202.57,Dannie Wellum,18,goalkeeper,Bayern Munich,China,185.55,71.29,91,29,30
95,Jolene,Scrivenor,jscrivenor2m@statcounter.com,Female,233.146.155.172,Jolene Scrivenor,23,midfielder,Real Madrid,Russia,199.85,52.42,82,21,4
96,Rubie,Paiton,rpaiton2n@businessweek.com,Female,157.121.229.121,Rubie Paiton,30,forward,Barcelona,Indonesia,198.14,50.61,89,23,21
97,Quentin,Mirfin,qmirfin2o@zdnet.com,Male,183.141.85.102,Quentin Mirfin,22,goalkeeper,Real Madrid,France,181.41,63.15,38,23,2
98,Raine,Leeuwerink,rleeuwerink2p@unc.edu,Female,24.115.233.15,Raine Leeuwerink,19,goalkeeper,Manchester United,China,204.01,76.24,64,11,28
99,Judah,Summergill,jsummergill2q@histats.com,Male,120.39.207.65,Judah Summergill,38,goalkeeper,Bayern Munich,Indonesia,154.82,52.08,91,37,16
100,Ellery,Severns,eseverns2r@toplist.cz,Male,90.129.82.163,Ellery Severns,34,midfielder,Bayern Munich,China,159.53,88.38,49,3,0
101,Lucien,Pidgeley,lpidgeley2s@sun.com,Male,198.126.4.100,Lucien Pidgeley,35,midfielder,Barcelona,Colombia,202.43,57.75,19,49,3
102,Enos,Hasell,ehasell2t@addthis.com,Male,246.214.141.254,Enos Hasell,23,goalkeeper,Barcelona,Greece,152.49,86.08,40,47,10
103,Willette,Reynoldson,wreynoldson2u@ihg.com,Female,125.223.80.116,Willette Reynoldson,29,forward,Real Madrid,Indonesia,195.48,70.45,73,37,20
104,Evelina,Antonomoli,eantonomoli2v@dell.com,Female,146.42.248.155,Evelina Antonomoli,20,defender,Barcelona,Indonesia,191.72,91.24,10,1,21
105,Cass,Pudding,cpudding2w@shareasale.com,Female,149.75.145.42,Cass Pudding,29,defender,Real Madrid,China,159.7,83.59,26,47,22
106,Nonah,Belton,nbelton2x@go.com,Polygender,140.201.116.108,Nonah Belton,26,goalkeeper,Manchester United,Saudi Arabia,198.89,77.07,54,19,14
107,Valida,Pellamont,vpellamont2y@illinois.edu,Female,229.77.155.47,Valida Pellamont,32,midfielder,Bayern Munich,Portugal,176.53,77.62,63,36,5
108,Alejoa,Roller,aroller2z@usda.gov,Male,211.189.18.173,Alejoa Roller,22,defender,Manchester United,Russia,167.93,56.23,8,50,12
109,Northrop,Bromehed,nbromehed30@sogou.com,Male,230.176.138.248,Northrop Bromehed,32,goalkeeper,Manchester United,Macedonia,191.24,59.86,16,36,4
110,Erina,Choupin,echoupin31@dell.com,Female,87.227.115.152,Erina Choupin,32,midfielder,Barcelona,Indonesia,198.42,50.17,64,50,2
111,Had,Byre,hbyre32@skyrock.com,Male,4.25.69.170,Had Byre,32,defender,Manchester United,Philippines,196.32,80.73,97,40,0
112,Kalle,Ruffey,kruffey33@ocn.ne.jp,Male,47.131.100.99,Kalle Ruffey,22,goalkeeper,Bayern Munich,Philippines,178.43,69.2,40,49,20
113,Georgine,Fitchew,gfitchew34@ameblo.jp,Female,190.28.14.166,Georgine Fitchew,29,midfielder,Bayern Munich,China,154.01,82.92,85,10,18
114,Papageno,Churn,pchurn35@furl.net,Male,116.4.80.3,Papageno Churn,27,midfielder,Real Madrid,Portugal,198.66,73.47,92,14,2
115,Rancell,Miller,rmiller36@ftc.gov,Male,3.177.128.96,Rancell Miller,38,forward,Bayern Munich,Nigeria,168.36,81.79,68,39,30
116,Cecelia,Daykin,cdaykin37@jigsy.com,Female,132.220.216.177,Cecelia Daykin,27,defender,Barcelona,Portugal,196.33,86.33,52,20,18
117,Berkie,Flacke,bflacke38@ovh.net,Male,178.216.34.17,Berkie Flacke,33,forward,Bayern Munich,China,204.87,60.61,33,5,14
118,Issiah,Magovern,imagovern39@geocities.com,Male,234.217.33.137,Issiah Magovern,24,forward,Barcelona,Sweden,183.39,77.56,18,3,2
119,Kaitlynn,Filippone,kfilippone3a@apple.com,Female,176.46.42.86,Kaitlynn Filippone,24,defender,Manchester United,Portugal,157.9,87.92,35,33,9
120,Pierce,Delgardo,pdelgardo3b@oakley.com,Male,175.11.130.32,Pierce Delgardo,39,defender,Bayern Munich,Georgia,202.15,85.68,95,25,19
121,Launce,Geraghty,lgeraghty3c@yahoo.co.jp,Male,168.184.118.46,Launce Geraghty,22,goalkeeper,Barcelona,United States,161.72,90.39,93,41,25
122,Kain,Hathwood,khathwood3d@bing.com,Male,218.229.105.117,Kain Hathwood,28,goalkeeper,Bayern Munich,Nigeria,176.08,52.02,47,42,10
123,Cello,Moules,cmoules3e@ftc.gov,Male,66.89.75.27,Cello Moules,31,defender,Real Madrid,Mongolia,156.64,64.98,45,47,26
124,Aguistin,Vink,avink3f@cmu.edu,Male,153.31.71.164,Aguistin Vink,34,forward,Bayern Munich,Poland,202.44,52.22,95,21,30
125,Otes,Lakes,olakes3g@elegantthemes.com,Male,98.53.110.165,Otes Lakes,27,midfielder,Bayern Munich,China,156.14,86.06,3,8,2
126,Jehu,Mattke,jmattke3h@adobe.com,Male,72.132.237.0,Jehu Mattke,29,goalkeeper,Barcelona,France,165.21,54.01,21,19,16
127,Barbra,Boulds,bboulds3i@chronoengine.com,Female,133.78.250.116,Barbra Boulds,26,midfielder,Bayern Munich,Russia,179.27,54.14,98,4,23
128,Paddie,Andreu,pandreu3j@independent.co.uk,Male,205.155.250.233,Paddie Andreu,31,midfielder,Real Madrid,Indonesia,168.62,80.81,39,15,6
129,Christy,Craighall,ccraighall3k@nasa.gov,Male,206.36.47.191,Christy Craighall,19,midfielder,Manchester United,Belarus,173.11,79.51,82,2,9
130,Cammi,Cabrales,ccabrales3l@nps.gov,Female,180.240.67.157,Cammi Cabrales,31,forward,Real Madrid,China,205.58,75.65,76,23,21
131,Cash,Killik,ckillik3m@netlog.com,Male,116.130.130.136,Cash Killik,24,goalkeeper,Bayern Munich,France,175.37,81.48,41,46,20
132,Sonya,Dingwall,sdingwall3n@nyu.edu,Female,1.56.26.70,Sonya Dingwall,21,defender,Real Madrid,Indonesia,166.57,65.33,60,34,30
133,Sophi,Angrove,sangrove3o@businesswire.com,Female,180.49.25.224,Sophi Angrove,39,forward,Barcelona,Israel,165.16,70.28,96,30,14
134,Annis,Culligan,aculligan3p@cnn.com,Non-binary,112.167.145.216,Annis Culligan,22,goalkeeper,Real Madrid,Yemen,180.18,85.44,47,41,10
135,Spense,Lamy,slamy3q@patch.com,Male,65.191.209.131,Spense Lamy,25,goalkeeper,Real Madrid,Thailand,176.4,84.28,8,50,20
136,Maisey,Neachell,mneachell3r@businessweek.com,Female,222.240.21.105,Maisey Neachell,40,goalkeeper,Real Madrid,Uruguay,173.43,52.33,48,33,23
137,Laverna,Flowith,lflowith3s@buzzfeed.com,Female,178.234.11.112,Laverna Flowith,18,defender,Manchester United,Indonesia,164.77,93.55,67,18,13
138,Lonnard,Milborn,lmilborn3t@altervista.org,Male,126.38.197.104,Lonnard Milborn,37,defender,Manchester United,Mauritius,181.16,87.43,51,38,27
139,Cory,Godson,cgodson3u@ibm.com,Male,55.131.151.41,Cory Godson,28,forward,Manchester United,Indonesia,201.19,77.51,99,19,9
140,Ban,Deerness,bdeerness3v@blogs.com,Male,233.234.230.8,Ban Deerness,20,midfielder,Barcelona,Indonesia,202.09,63.19,46,45,7
141,Bevin,Heaton,bheaton3w@telegraph.co.uk,Male,194.70.18.90,Bevin Heaton,30,forward,Bayern Munich,Portugal,207.34,77.52,3,3,15
142,Killy,Ghidotti,kghidotti3x@artisteer.com,Male,37.14.129.164,Killy Ghidotti,31,goalkeeper,Bayern Munich,Mongolia,178.18,71.81,7,43,1
143,Ode,Grocott,ogrocott3y@washingtonpost.com,Male,228.130.19.74,Ode Grocott,39,goalkeeper,Real Madrid,Lithuania,152.99,87.45,68,8,21
144,Lotte,Grisewood,lgrisewood3z@dedecms.com,Female,209.227.181.61,Lotte Grisewood,40,forward,Manchester United,Vietnam,206.49,97.64,27,45,11
145,Caryl,Bletsor,cbletsor40@phpbb.com,Female,204.180.144.152,Caryl Bletsor,38,forward,Real Madrid,Philippines,200.05,77.92,58,9,4
146,Weider,McMenamy,wmcmenamy41@ycombinator.com,Male,91.105.214.211,Weider McMenamy,33,forward,Barcelona,China,171.68,83.66,16,22,0
147,Hamil,Upson,hupson42@admin.ch,Genderqueer,190.53.100.110,Hamil Upson,18,forward,Bayern Munich,Brazil,209.86,54.23,68,36,14
148,Nixie,Sivills,nsivills43@imgur.com,Female,137.151.174.110,Nixie Sivills,26,forward,Real Madrid,Canada,174.68,94.58,33,36,11
149,Audi,Warlow,awarlow44@vkontakte.ru,Female,128.254.24.77,Audi Warlow,29,goalkeeper,Bayern Munich,China,181.24,77.64,56,37,27
150,Tulley,Harvard,tharvard45@state.gov,Male,87.92.149.237,Tulley Harvard,39,goalkeeper,Bayern Munich,Jordan,209.37,71.56,25,16,30
151,Rakel,Depport,rdepport46@lycos.com,Female,105.108.143.77,Rakel Depport,23,defender,Bayern Munich,Poland,198.39,77.73,56,24,7
152,Mag,Perrelle,mperrelle47@netlog.com,Polygender,203.56.29.161,Mag Perrelle,38,forward,Real Madrid,Sweden,180.98,85.58,47,39,15
153,Kiri,Franciottoi,kfranciottoi48@i2i.jp,Female,70.24.24.169,Kiri Franciottoi,30,defender,Bayern Munich,China,179.5,56.57,47,42,24
154,Freddy,Twinning,ftwinning49@foxnews.com,Female,174.26.246.33,Freddy Twinning,30,forward,Bayern Munich,Russia,172.19,84.49,48,40,20
155,Jerry,Zuann,jzuann4a@sbwire.com,Male,178.198.195.71,Jerry Zuann,27,defender,Barcelona,Macedonia,159.55,57.85,75,30,25
156,Torie,Milkin,tmilkin4b@unicef.org,Female,204.212.238.74,Torie Milkin,26,defender,Manchester United,China,192.14,86.34,11,19,10
157,Burty,Downer,bdowner4c@marriott.com,Male,52.91.21.116,Burty Downer,28,defender,Manchester United,Mongolia,186.57,75.33,77,22,8
158,Griselda,Coulton,gcoulton4d@oracle.com,Female,196.192.134.28,Griselda Coulton,36,forward,Manchester United,Indonesia,162.06,88.41,4,44,11
159,Ambrose,Chinge,achinge4e@unc.edu,Male,72.238.3.101,Ambrose Chinge,24,forward,Real Madrid,Norway,182.36,83.51,3,3,27
160,Kingsly,Beardmore,kbeardmore4f@ox.ac.uk,Non-binary,169.18.137.125,Kingsly Beardmore,30,goalkeeper,Manchester United,Portugal,198.71,88.05,53,41,22
161,Markus,Jellard,mjellard4g@apache.org,Male,172.179.150.195,Markus Jellard,36,forward,Real Madrid,Indonesia,156.21,65.25,66,19,17
162,Benjamen,Alexandre,balexandre4h@mysql.com,Male,129.57.120.174,Benjamen Alexandre,36,defender,Manchester United,China,156.37,85.34,5,48,6
163,Babbette,Colgan,bcolgan4i@networkadvertising.org,Female,210.232.67.254,Babbette Colgan,36,goalkeeper,Bayern Munich,Russia,165.38,68.3,65,10,27
164,Tiffie,Dobbyn,tdobbyn4j@dmoz.org,Female,114.64.92.7,Tiffie Dobbyn,40,midfielder,Barcelona,Brazil,199.45,91.95,78,21,21
165,Regan,Faber,rfaber4k@fda.gov,Male,142.158.18.133,Regan Faber,29,goalkeeper,Real Madrid,Czech Republic,186.59,87.45,57,43,24
166,Rosemary,Gazzard,rgazzard4l@gov.uk,Female,67.82.88.220,Rosemary Gazzard,25,forward,Bayern Munich,Indonesia,154.3,84.11,70,35,25
167,Glendon,Aronovich,garonovich4m@google.ca,Male,207.182.67.242,Glendon Aronovich,36,forward,Bayern Munich,Georgia,204.9,56.06,29,39,4
168,Dynah,Janc,djanc4n@google.com.br,Female,66.124.34.143,Dynah Janc,25,midfielder,Manchester United,Portugal,173.41,93.93,28,11,13
169,Orlando,Toseland,otoseland4o@marriott.com,Male,88.176.248.64,Orlando Toseland,21,midfielder,Manchester United,Poland,164.26,80.09,80,28,18
170,Paolo,Abramino,pabramino4p@uol.com.br,Male,230.9.8.4,Paolo Abramino,33,defender,Manchester United,Indonesia,187.75,83.76,30,47,12
171,Suzy,Tillman,stillman4q@eventbrite.com,Female,148.25.244.134,Suzy Tillman,30,goalkeeper,Bayern Munich,Honduras,160.28,97.39,27,41,27
172,Gerick,Prickett,gprickett4r@gmpg.org,Male,204.111.175.138,Gerick Prickett,26,defender,Bayern Munich,Ethiopia,154.97,74.52,15,43,24
173,Torrey,Pentony,tpentony4s@ucla.edu,Male,83.55.177.10,Torrey Pentony,37,defender,Real Madrid,Zambia,171.73,59.61,84,11,8
174,Alan,Bartzen,abartzen4t@goo.gl,Male,23.205.200.232,Alan Bartzen,38,forward,Barcelona,China,153.64,78.53,76,37,24
175,Eadie,Studdert,estuddert4u@nature.com,Female,209.219.84.13,Eadie Studdert,22,forward,Real Madrid,Iran,189.67,72.48,34,1,4
176,Moss,Gierek,mgierek4v@nifty.com,Male,128.53.122.80,Moss Gierek,30,forward,Manchester United,Costa Rica,209.78,93.87,99,8,4
177,Ron,Bartolic,rbartolic4w@shutterfly.com,Male,128.254.96.173,Ron Bartolic,27,forward,Real Madrid,Kosovo,189.24,88.87,55,3,26
